/dev/CMSSW_8_0_0/GRun/V58																				EXO				
																				EXO				
stream ALCAELECTRON				1e34	7e33	5e33	3.5e33	2e33	1e33	7e32	5e32	3.5e32	2e32	1e32		Level 1 Trigger seeds		L1 seeds OK ?	Proposed L1 Seeds	Group				
	dataset AlCaElectron																							
		AlCa_DoubleEle_CaloIdL_TrackIdL_IsoVL_DZ_v1		1	1	1	1	1	1	1	1	1	1	1		L1_DoubleEG_24_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_18_17		no, CMSHLT-766	L1_DoubleEG_24_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_18_17 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_15_10 OR L1_DoubleEG23_10					
		AlCa_DoubleEle_CaloIdL_TrackIdL_IsoVL_v1		1	1	1	1	1	1	1	1	1	1	1		L1_DoubleEG_24_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_18_17		no, CMSHLT-766	L1_DoubleEG_24_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_18_17 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_15_10 OR L1_DoubleEG23_10					
		AlCa_SingleEle_WPVeryLoose_Gsf_v1		1	1	1	1	1	1	1	1	1	1	1		L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG34		no, CMSHLT-765 (minor. Only for low lumi)	L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG34 OR L1_SingleIsoEG18 OR L1_SingleIsoEG20 OR L1_SingleIsoEG22					
stream ALCALUMIPIXELS																								
	dataset AlCaLumiPixels																							
		AlCa_LumiPixels_Random_v1		12	12	12	12	12	12	12	12	12	12	12		(none)		yes						
		AlCa_LumiPixels_ZeroBias_v2		45	45	45	45	45	45	45	45	45	45	45		L1_ZeroBias		yes						
stream ALCAP0																								
	dataset AlCaP0																							
